"Security Code","Security Name","Group","LTP","Chg","% Chg"
509966,"VSTIND","A",3567.45,19.8,0.56
516022,"STARPAPER","B",164.7,0.9,0.56
522017,"FLUIDOM","X",146,0.8,0.56
532513,"TVSELECT","B",202.8,1.1,0.56
532652,"KTKBANK","A",63.2,0.35,0.56
530239,"SUVEN","A",91.8,0.5,0.55
532321,"CADILAHC","A",645.65,3.5,0.55
532477,"UNIONBANK","A",36.75,0.2,0.55
501430,"BOMBCYC","X",717.9,3.7,0.54
531592,"GENPHARMA","X",9.7,0.05,0.54
532041,"HINDBIO","XT",3.85,0.02,0.54
532687,"REPRO","B",367.7,1.95,0.54
539980,"ICICIMCAP","B",96.59,0.52,0.54
520155,"STARLOG","X",9.78,0.05,0.53
523642,"PIIND","A",2997.9,15.8,0.53
524129,"VINYLINDIA","B",164,0.85,0.53
530367,"NRBBEARING","A",144.5,0.75,0.53
539018,"BEEKAY","X",389.2,2,0.53
530951,"RAMINFO","X",48.7,0.25,0.52
531548,"SOMANYCERA","T",680,3.5,0.52
532735,"RSYSTEMINT","A",179,0.9,0.52
532738,"TANTIACONS","Z",10,0.05,0.52
540787,"ICICIB22","B",40.68,0.21,0.52
505196,"TIL","T",192.9,0.95,0.51
526423,"KRITIIND","X",122.9,0.6,0.51
526468,"EUROLED","XT",14.3,0.07,0.51
533704,"ESSARSHPNG","T",12.14,0.06,0.51
